subjectid,ageGroup,inquisit.build,computer.platform,startdate,starttime,sessionid,elapsedtime,completed,taskOrder,IP12_1,IP12_2,IP12_3,IP13_1,IP13_2,IP13_3,IP14_1,IP14_2,IP14_3,IP15_1,IP15_2,IP15_3,IP16_1,IP16_2,IP16_3,IP12_1_loss,IP12_2_loss,IP12_3_loss,IP13_1_loss,IP13_2_loss,IP13_3_loss,IP14_1_loss,IP14_2_loss,IP14_3_loss,IP15_1_loss,IP15_2_loss,IP15_3_loss,IP16_1_loss,IP16_2_loss,IP16_3_loss,TotalWinAmount,finalN_reward,finalReward_reward,finalN_loss,finalReward_loss,hitrate_N1,CRrate_N1,hitrate_N2,CRrate_N2,hitrate_N3,CRrate_N3,hitrate_N4,CRrate_N4,hitrate_N5,CRrate_N5,hitrate_N6,CRrate_N6,mentaldemand_1,physicaldemand_1,temporaldemand_1,performance_1,effort_1,frustration_1,mentaldemand_2,physicaldemand_2,temporaldemand_2,performance_2,effort_2,frustration_2,mentaldemand_3,physicaldemand_3,temporaldemand_3,performance_3,effort_3,frustration_3,mentaldemand_4,physicaldemand_4,temporaldemand_4,performance_4,effort_4,frustration_4,mentaldemand_5,physicaldemand_5,temporaldemand_5,performance_5,effort_5,frustration_5,mentaldemand_6,physicaldemand_6,temporaldemand_6,performance_6,effort_6,frustration_6
353,Young,6436,mac,11/1/21,18:50:18,1,2968963,1,1,1.984375,2.9765625,2.96875,1.984375,2.9765625,3.96875,1.984375,2.9765625,3.96875,not run,not run,not run,not run,not run,not run,-1.984375,-2.9765625,-3.96875,-1.984375,-1.2421875,-2.96875,-1.984375,-2.6015625,-3.96875,not run,not run,not run,not run,not run,not run,7,4,4,3,-2,0.8,0.266666667,1,0.8,0.8,0.4,1,0.6,0,0,0,0,13,9,8,10,10,10,13,11,10,14,12,12,13,12,12,10,12,13,11,13,10,12,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,Young,6436,win,11/1/21,17:57:41,1,1373479,1,2,1.078125,1.8515625,3.03125,0.015625,0.0234375,0.03125,0.015625,0.0234375,0.03125,not run,not run,not run,not run,not run,not run,-1.734375,-2.1796875,-3.90625,-0.015625,-0.0234375,-0.03125,-0.015625,-0.0234375,-0.03125,not run,not run,not run,not run,not run,not run,NA,1,NA,1,-2,1,1,1,0.866666667,0.4,0.8,0.4,0.733333333,0,0,0,0,3,1,2,21,3,2,14,5,3,13,15,6,19,17,7,1,15,16,21,9,15,4,21,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,Young,6436,win,11/1/21,19:01:56,1,1487870,1,1,1.984375,2.9765625,3.96875,1.734375,2.4140625,3.84375,0.953125,1.4765625,1.96875,not run,not run,not run,not run,not run,not run,-1.984375,-2.9765625,-3.96875,-1.984375,-0.2578125,-3.90625,-1.765625,-2.9296875,-3.53125,not run,not run,not run,not run,not run,not run,3,2,2,4,-4,1,1,1,1,0.8,0.933333333,0.8,0.866666667,0,0,0,0,3,1,2,21,3,1,9,1,6,21,11,7,16,1,10,15,15,6,19,1,12,17,17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,Young,6436,mac,11/1/21,19:05:48,1,1336978,1,2,1.390625,1.8046875,3.53125,0.015625,0.7734375,0.03125,0.015625,0.0234375,0.03125,not run,not run,not run,not run,not run,not run,-1.828125,-2.4609375,-2.71875,-0.015625,-0.3515625,-0.03125,-0.015625,-0.0234375,-0.03125,not run,not run,not run,not run,not run,not run,3.5,1,1.5,1,-3,0.8,0.933333333,0.6,1,0.8,1,0.4,0.866666667,0,0,0,0,12,3,7,13,8,18,14,2,8,8,12,19,15,1,8,9,15,20,21,7,8,1,19,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,Young,6436,win,11/1/21,16:08:39,1,1644381,1,1,1.953125,2.9765625,3.96875,1.984375,2.9765625,3.96875,1.984375,2.9765625,3.96875,not run,not run,not run,not run,not run,not run,-1.984375,-2.9765625,-3.96875,-1.984375,-0.3046875,-3.96875,-1.984375,-2.9765625,-3.96875,not run,not run,not run,not run,not run,not run,6,2,4,2,-3,1,1,1,1,0.2,0.933333333,0.4,0.8,0,0,0,0,7,1,11,19,7,5,14,3,13,19,14,9,17,1,11,1,12,14,21,3,14,5,17,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,Young,6436,mac,11/1/21,18:09:19,1,1554156,1,1,0.203125,0.5390625,0.46875,1.328125,0.8203125,0.84375,0.109375,1.8515625,2.78125,not run,not run,not run,not run,not run,not run,-1.984375,-2.4140625,-3.34375,-1.984375,-0.8671875,-3.84375,-1.890625,-1.6171875,-3.34375,not run,not run,not run,not run,not run,not run,4.53125,1,1.5,4,-1.96875,0.6,0.933333333,0.8,0.933333333,1,0.8,0,0.666666667,0,0,0,0,1,1,1,21,1,1,5,1,1,21,1,1,3,1,1,21,1,1,21,1,1,2,13,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,Young,6436,win,11/1/21,18:09:56,1,1523887,1,2,1.984375,2.9765625,3.90625,1.984375,2.9765625,3.96875,1.984375,2.9765625,3.96875,not run,not run,not run,not run,not run,not run,-1.984375,-2.9765625,-3.96875,-1.984375,-1.3828125,-3.96875,-1.984375,-2.9765625,-3.96875,not run,not run,not run,not run,not run,not run,4,2,2,2,-3,0.4,0.266666667,0.6,0.466666667,0.8,0.466666667,0.6,0.333333333,0,0,0,0,15,10,17,9,12,18,14,11,20,12,17,18,16,15,19,14,17,19,16,14,20,12,14,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,Young,6436,win,11/1/21,20:39:35,1,1435817,1,1,0.234375,0.5390625,1.09375,0.234375,0.7265625,0.96875,0.109375,0.7265625,0.46875,not run,not run,not run,not run,not run,not run,-1.765625,-2.6484375,-3.03125,-1.765625,-0.7265625,-3.03125,-1.515625,-2.6484375,-3.65625,not run,not run,not run,not run,not run,not run,5,1,1.5,4,-1.5,1,1,1,1,1,1,0.6,1,0,0,0,0,9,3,4,21,8,3,9,3,4,21,12,7,16,4,9,21,16,15,20,4,11,14,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,Old,6432,and,11/1/21,19:41:37,1,1689742,1,2,0.015625,0.0234375,0.03125,0.015625,0.0234375,0.03125,0.015625,0.0234375,0.03125,not run,not run,not run,not run,not run,not run,-0.703125,-0.3515625,-0.28125,-0.515625,-0.1640625,-0.03125,-0.265625,-0.0234375,-2.03125,not run,not run,not run,not run,not run,not run,3,1,1,1,-3,1,1,0.8,1,1,0.6,0.8,0.8,0,0,0,0,15,5,14,21,16,2,17,6,16,16,17,14,20,6,20,15,18,17,20,8,20,17,21,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,Young,6436,win,11/1/21,21:02:58,1,1793614,1,1,1.984375,2.9765625,3.71875,0.265625,0.0234375,0.03125,0.140625,0.0234375,0.03125,not run,not run,not run,not run,not run,not run,-1.984375,-2.9765625,-3.96875,-1.828125,-0.9140625,-3.40625,-0.421875,-0.7734375,-0.53125,not run,not run,not run,not run,not run,not run,2.3125,1,0.3125,2,-3,1,1,0.8,1,1,0.866666667,0.4,0.933333333,0,0,0,0,2,1,4,21,1,1,4,1,1,19,3,1,14,1,1,21,13,1,19,1,1,5,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
